name,enginesize,horsepower,curbweight,carwidth,highwaympg,citympg,price
subaru dl,108,73,2120,63.6,31,26,7053.0
subaru dl,108,73,2240,63.8,31,26,7603.0
subaru,108,82,2145,65.4,37,32,7126.0
subaru brz,108,82,2190,65.4,33,28,7775.0
subaru baja,108,94,2340,65.4,32,26,9960.0
subaru r1,108,82,2385,65.4,25,24,9233.0
subaru r2,108,111,2510,65.4,29,24,11259.0
subaru trezia,108,82,2290,65.4,32,28,7463.0
subaru tribeca,108,94,2455,65.4,31,25,10198.0
subaru dl,108,82,2420,65.4,29,23,8013.0
subaru dl,108,111,2650,65.4,23,23,11694.0
toyota corona mark ii,92,62,1985,63.6,39,35,5348.0
toyota corona,92,62,2040,63.6,38,31,6338.0
toyota corolla 1200,92,62,2015,63.6,38,31,6488.0
toyota corona hardtop,92,62,2280,63.6,37,31,6918.0
toyota corolla 1600 (sw),92,62,2290,63.6,32,27,7898.0
toyota carina,92,62,3110,63.6,32,27,8778.0
toyota mark ii,98,70,2081,64.4,37,30,6938.0
toyota corolla 1200,98,70,2109,64.4,37,30,7198.0
toyota corona,110,56,2275,64.4,36,34,7898.0
toyota corolla,110,56,2275,64.4,47,38,7788.0
toyota corona,98,70,2094,64.4,47,38,7738.0
toyota corolla,98,70,2122,64.4,34,28,8358.0
toyota mark ii,98,70,2140,64.4,34,28,9258.0
toyota corolla liftback,98,70,2169,64.0,34,29,8058.0
toyota corona,98,70,2204,64.0,34,29,8238.0
toyota celica gt liftback,98,112,2265,64.0,29,26,9298.0
toyota corolla tercel,98,112,2300,64.0,29,26,9538.0
toyota corona liftback,146,116,2540,65.6,30,24,8449.0
toyota corolla,146,116,2536,65.6,30,24,9639.0
toyota starlet,146,116,2551,65.6,30,24,9989.0
toyota tercel,146,116,2679,65.6,30,24,11199.0
toyota corolla,146,116,2714,65.6,30,24,11549.0
toyota cressida,146,116,2975,65.6,30,24,17669.0
toyota corolla,122,92,2326,66.5,34,29,8948.0
toyota celica gt,110,73,2480,66.5,33,30,10698.0
toyota corona,122,92,2414,66.5,32,27,9988.0
toyota corolla,122,92,2414,66.5,32,27,10898.0
toyota mark ii,122,92,2458,66.5,32,27,11248.0
toyota corolla liftback,171,161,2976,67.7,24,20,16558.0
toyota corona,171,161,3016,67.7,24,19,15998.0
toyota starlet,171,156,3131,66.5,24,20,15690.0
toyouta tercel,161,156,3151,66.5,24,19,15750.0
vokswagen rabbit,97,52,2261,65.5,46,37,7775.0
volkswagen 1131 deluxe sedan,109,85,2209,65.5,34,27,7975.0
volkswagen model 111,97,52,2264,65.5,46,37,7995.0
volkswagen type 3,109,85,2212,65.5,34,27,8195.0
volkswagen 411 (sw),109,85,2275,65.5,34,27,8495.0
volkswagen super beetle,97,68,2319,65.5,42,37,9495.0
volkswagen dasher,109,100,2300,65.5,32,26,9995.0
vw dasher,109,90,2254,64.2,29,24,11595.0
vw rabbit,109,90,2221,64.0,29,24,9980.0
volkswagen rabbit,136,110,2661,66.9,24,19,13295.0
volkswagen rabbit custom,97,68,2579,66.9,38,33,13845.0
volkswagen dasher,109,88,2563,66.9,31,25,12290.0
volvo 145e (sw),141,114,2912,67.2,28,23,12940.0
volvo 144ea,141,114,3034,67.2,28,23,13415.0
volvo 244dl,141,114,2935,67.2,28,24,15985.0
volvo 245,141,114,3042,67.2,28,24,16515.0
volvo 264gl,130,162,3045,67.2,22,17,18420.0
volvo diesel,130,162,3157,67.2,22,17,18950.0
volvo 145e (sw),141,114,2952,68.9,28,23,16845.0
volvo 144ea,141,160,3049,68.8,25,19,19045.0
volvo 244dl,173,134,3012,68.9,23,18,21485.0
volvo 246,145,106,3217,68.9,27,26,22470.0
volvo 264gl,141,114,3062,68.9,25,19,22625.0
